dataset,paper_code,cohort,child_id,age,instrument,input_rate,log_input,units
adams_marchman_2018,AM2018,totlot3,911401,18.8,LENA,1146.5781,7.044537220344204,adult words / hour
adams_marchman_2018,AM2018,totlot3,911429,16.4,LENA,1529.058824,7.332407677393081,adult words / hour
adams_marchman_2018,AM2018,totlot3,911429,18.8,LENA,1922.5683,7.561417227406739,adult words / hour
fmw_2013,FMW2013,tlo,20001,18,LENA,2332.45609,7.754677107249552,adult words / hour
fmw_2013,FMW2013,tlo,20001,24,LENA,1596.818245,7.375768331468877,adult words / hour
fmw_2013,FMW2013,tlo,20002,18,LENA,1512.839317,7.321743506562315,adult words / hour
fmw_2013,FMW2013,tlo,20003,19,LENA,1607.868896,7.382664914076662,adult words / hour
fmw_2013,FMW2013,tlo,20003,25,LENA,928.5790314,6.833655494456435,adult words / hour
fmw_2013,FMW2013,tlo,20004,24,LENA,1085.419355,6.989721693605932,adult words / hour
fmw_2013,FMW2013,tlo,20007,19,LENA,1087.235116,6.991393161800232,adult words / hour
fmw_2013,FMW2013,tlo,20007,24,LENA,1008.007039,6.915730431741853,adult words / hour
fmw_2013,FMW2013,tlo,20034,19,LENA,1485.033708,7.303192749969081,adult words / hour
fmw_2013,FMW2013,tlo,20034,25,LENA,1896.179775,7.547596496357996,adult words / hour
fmw_2013,FMW2013,tlo,20037,18,LENA,1139.559988,7.038397491442252,adult words / hour
fmw_2013,FMW2013,tlo,20037,23,LENA,526.0014238,6.265303919578153,adult words / hour
fmw_2013,FMW2013,tlo,20038,18,LENA,1066.294157,6.971944511312975,adult words / hour
fmw_2013,FMW2013,tlo,20038,23,LENA,677.966557,6.519097960765128,adult words / hour
fmw_2013,FMW2013,tlo,20041,18,LENA,1412.411368,7.253053712733254,adult words / hour
fmw_2013,FMW2013,tlo,20041,25,LENA,1586.235155,7.369118660434767,adult words / hour
fmw_2013,FMW2013,tlo,20047,18,LENA,1055.94216,6.962188690038854,adult words / hour
fmw_2013,FMW2013,tlo,20048,19,LENA,124.5661912,4.824837230850564,adult words / hour
fmw_2013,FMW2013,tlo,20048,25,LENA,1161.674279,7.057617587446221,adult words / hour
fmw_2013,FMW2013,tlo,20053,20,LENA,1526.90601,7.330998751261358,adult words / hour
fmw_2013,FMW2013,tlo,20056,18,LENA,3495.84705,8.159330985818366,adult words / hour
fmw_2013,FMW2013,tlo,20056,24,LENA,4326.992936,8.372628107683687,adult words / hour
fmw_2013,FMW2013,tlo,20071,17,LENA,2251.124724,7.719185247634745,adult words / hour
fmw_2013,FMW2013,tlo,20071,25,LENA,1711.255543,7.444982615750079,adult words / hour
fmw_2013,FMW2013,tlo,20073,18,LENA,1464.485697,7.289259399746897,adult words / hour
fmw_2013,FMW2013,tlo,20073,23,LENA,1617.673469,7.388744265756083,adult words / hour
fmw_2013,FMW2013,tlo,20086,19,LENA,1158.486042,7.05486929546148,adult words / hour
fmw_2013,FMW2013,tlo,20086,24,LENA,1850.796517,7.523371375142161,adult words / hour
fmw_2013,FMW2013,tlo,20100,18,LENA,3115.059527,8.044003540830296,adult words / hour
fmw_2013,FMW2013,tlo,20100,25,LENA,1956.899325,7.579116522536788,adult words / hour
fmw_2013,FMW2013,tlo,20108,18,LENA,1680.371134,7.426769961094838,adult words / hour
fmw_2013,FMW2013,tlo,20108,24,LENA,988.5551528,6.896244435490234,adult words / hour
fmw_2013,FMW2013,tlo,20112,26,LENA,1569.171285,7.35830291503465,adult words / hour
fmw_2013,FMW2013,tlo,20113,18,LENA,813.1201121,6.70087883799582,adult words / hour
fmw_2013,FMW2013,tlo,20113,23,LENA,983.3700926,6.89098554227214,adult words / hour
fmw_2013,FMW2013,tlo,20114,18,LENA,1578.605748,7.364297298468737,adult words / hour
fmw_2013,FMW2013,tlo,20114,23,LENA,1243.7943,7.125921905928946,adult words / hour
fmw_2013,FMW2013,tlo,20115,18,LENA,1197.914754,7.088337619215406,adult words / hour
fmw_2013,FMW2013,tlo,20117,18,LENA,1562.318074,7.353925942191751,adult words / hour
fmw_2013,FMW2013,tlo,20117,24,LENA,1410.77057,7.251891337639635,adult words / hour
fmw_2013,FMW2013,tlo,20121,18,LENA,475.0407543,6.163400598880474,adult words / hour
fmw_2013,FMW2013,tlo,20121,24,LENA,752.1492095,6.622934721156111,adult words / hour
fmw_2013,FMW2013,tlo,20122,19,LENA,1077.209914,6.982129564385623,adult words / hour
fmw_2013,FMW2013,tlo,20122,24,LENA,1000.407807,6.908163002851462,adult words / hour
fmw_2013,FMW2013,tlo,20127,18,LENA,680.5072804,6.522838520638259,adult words / hour
fmw_2013,FMW2013,tlo,20127,24,LENA,1211.647856,7.099736576557269,adult words / hour
fmw_2013,FMW2013,tlo,20128,18,LENA,1370.376311,7.22284066066669,adult words / hour
