word,sc,mid,rng,kappa,count,total_tokens,logfreq
a,0.1082943401873877,0.3859401874376628,6.074459548741893,4.007596327278284,5498392,378750562,6.740235699015658
about,0.7737100522030189,-0.06534342463157906,10.858289308886595,0.5609336453161654,467263,378750562,5.669561392982333
above,0.28687131321060116,1.5493666330303464,2.4258035703904754,1.5128734732754092,61784,378750562,4.790876021830315
after,0.9727256444571737,-1.3334962345763743,7.096407544436354,0.4461689711513592,171965,378750562,5.235440064037669
all,0.508810513615669,-0.3310756313848733,8.468265106684324,0.8529697959972241,491094,378750562,5.69116462811896
am,0.38350007407520476,-0.2945522690626439,7.458171456901977,1.1316816588538445,102605,378750562,5.011168524708547
and,0.33843223247827414,0.08811837708089829,11.232436500960269,1.2823837635732904,7120191,378750562,6.85249164379605
animal,0.08430727024230635,1.4554807870344582,1.9482797335384658,5.147835990332111,54320,378750562,4.734959761272445
another,0.21148452262393383,1.5586086591658697,2.4797395068812937,2.0521596314248858,92544,378750562,4.966348266942399
any,1.4225395453756584,-0.14297998499551037,11.403563764391695,0.3050881793837169,292309,378750562,5.465842187201994
are,0.3670500028780876,0.10853832336017616,11.43092094007494,1.1824002086826009,1923506,378750562,6.284093545341471
arm,0.15902010709943495,1.5633111645127293,2.281385446798799,2.7292146126440517,23193,378750562,4.36535692799023
around,2.5167154597310115,0.1799774762511061,11.702408273060525,0.17244698772835695,158717,378750562,5.200623446041461
at,0.28383579984399754,-0.07352867883075735,8.854915902654827,1.529053066028091,822349,378750562,5.915056168643691
away,0.6086662326731794,0.7675669212295467,4.607485621267152,0.713034462407962,70680,378750562,4.849296540834726
baby,0.062015469973616955,1.528344960790114,1.9866451722308591,6.9982538257733955,28122,378750562,4.449046203903854
back,0.7791339833123333,1.2282323899745622,4.467972093793041,0.5570287130269113,162883,378750562,5.2118757596218375
bad,0.22285371512487961,1.6501641094845427,1.7097017284668663,1.9474658511158371,41715,378750562,4.620292247919841
ball,0.09620730192543371,1.6440893493698487,2.982998428295283,4.511092103345496,36573,378750562,4.563160585987702
bath,0.12297123814449878,1.5695827205874662,2.4672311099885,3.5292805581905524,17879,378750562,4.252343224380086
be,0.13890395979935102,0.4034982168811278,6.291534953385552,3.1244609630058053,1506216,378750562,6.177887256646551
beans,0.2400173133205972,1.509466296100586,4.189826742353851,1.808202891681798,11127,378750562,4.0463780880482725
bear,0.17966870594361767,1.7141452602174838,3.560576785097063,2.4155569982019838,13291,378750562,4.123557658003949
because,1.4740199644533762,-0.9302894564298104,8.89078743570597,0.2944329184584308,210021,378750562,5.322262722010782
bed,0.11626114984119874,1.608396066437593,3.4114093382682587,3.732975293920636,32458,378750562,4.511321755917704
bee,0.12990238610347707,1.756243250887262,4.4547457678801194,3.3409701932209788,10700,378750562,4.02938377768521
before,1.9755673542252428,-0.820637540195837,9.696899363494879,0.21968372734636604,159135,378750562,5.201765708466025
behind,0.6337447348812659,1.6156040421397735,4.5913780934467745,0.6848183126622918,35467,378750562,4.549824454935242
belt,0.10364868236503642,1.6077627896497693,3.411175831882444,4.18722158446271,7134,378750562,3.8533331050023354
better,0.585859799606191,1.413985741850058,3.6920955992285363,0.7407915687195646,120767,378750562,5.081948278028324
big,0.6602784594323232,-0.34283675948555026,3.2960399738985995,0.6572984379546972,52152,378750562,4.717270968032131
bird,0.2158588674579875,1.514048435046357,2.4536459347323714,2.010572950330471,29562,378750562,4.470733812658553
bite,0.23127219720100892,1.6327112498866498,4.627331438277484,1.8765766281140632,10915,378750562,4.038023740045158
black,0.14813708742463355,1.641566215592667,2.110631394811625,2.929718732459908,51868,378750562,4.714899502173077
block,0.1444205302439173,1.8812975965976135,2.5828691597176627,3.005112910657515,32917,378750562,4.517420247475371
blue,0.029490504218466055,1.5242458979708644,1.6836548271645508,14.716601546888521,34816,378750562,4.541778873682067
book,0.09462282427592546,1.411555447767455,1.5397235523356825,4.586631220543911,58632,378750562,4.768134708685043
bottle,0.2471201756173514,1.3744107614639314,2.9384414427082817,1.7562305421473121,9444,378750562,3.9751559784066894
bowl,0.21925498732086515,1.550644138140926,3.6029936704854144,1.9794304581307869,10576,378750562,4.024321442141565
box,0.21139669824123752,1.5044443258978788,1.624393817077542,2.053012197497694,28785,378750562,4.459166233791152
bread,0.1889505730599822,1.7110869239095159,2.8628600362499004,2.2968969766618654,13367,378750562,4.126033948051813
break,0.11654012884223681,1.6626100702783029,1.2570548296628274,3.7240391297963664,49445,378750562,4.694122381227473
bring,0.16077416393231397,1.6953584792103815,1.1374808188092196,2.699438699508425,35999,378750562,4.556290436864124
broken,0.2715210327697283,1.7274269662148714,1.2914710759644858,1.5984028772020287,13194,378750562,4.120376479744434
brown,0.11339389578135049,1.3533490534048203,2.728778214197849,3.827366517478611,23534,378750562,4.371695749117709
brush,0.19490214095278066,1.5681176460017772,4.086580145568311,2.2267585049522163,16721,378750562,4.22326224687663
build,0.12223086381476095,1.8438102317194625,1.1031677183372466,3.5506580453994054,50159,378750562,4.7003488695529025
bus,0.35988701557132846,1.6601692730968345,1.874356985680202,1.2059340326880523,17328,378750562,4.238748439281245
but,0.8674043455832052,-0.38043472645615495,9.931591165050886,0.5003433545265411,568428,378750562,5.75467546254535
butter,0.15127061907379252,1.4257947470379173,3.288023952841664,2.869030368602425,23917,378750562,4.378706703528953
button,0.15809789014109335,1.6919388758298406,4.377899928533524,2.745134673288048,15891,378750562,4.20115122765526
buy,0.19296437905720742,1.5207615540764199,2.071163037325406,2.249119770811864,37141,378750562,4.569853592689579
by,0.14229352295128397,0.3869930023518964,5.670070037882377,3.0500334168308245,943527,378750562,5.974754332464103
