step,epoch,word,n_occurrences,mean_nll
1,1.0000,a,80,8.707670
1,1.0000,about,80,8.870890
1,1.0000,above,80,8.943320
1,1.0000,after,80,8.952503
1,1.0000,all,80,8.805106
1,1.0000,am,80,8.446604
1,1.0000,and,80,8.731771
1,1.0000,animal,80,8.590116
1,1.0000,another,80,8.765263
1,1.0000,any,80,8.831224
1,1.0000,are,80,8.875160
1,1.0000,arm,80,8.893086
1,1.0000,around,80,8.977832
1,1.0000,at,80,8.946161
1,1.0000,away,80,8.928420
1,1.0000,baby,80,8.515317
1,1.0000,back,80,8.851547
1,1.0000,bad,80,8.734352
1,1.0000,ball,80,8.740835
1,1.0000,bat,80,9.098653
1,1.0000,bath,80,8.709842
1,1.0000,be,80,8.306729
1,1.0000,beach,80,9.083583
1,1.0000,beans,80,8.972966
1,1.0000,bear,80,8.790596
1,1.0000,because,80,8.690674
1,1.0000,bed,80,8.812507
1,1.0000,bee,80,9.016414
1,1.0000,before,80,9.020396
1,1.0000,behind,80,8.988415
1,1.0000,belt,80,9.100530
1,1.0000,better,80,8.634939
1,1.0000,big,80,8.659893
1,1.0000,bird,80,8.952026
1,1.0000,bite,80,9.061705
1,1.0000,black,80,8.798018
1,1.0000,block,80,8.969753
1,1.0000,blow,80,9.077161
1,1.0000,blue,80,8.823988
1,1.0000,boat,80,9.248122
1,1.0000,book,80,8.680687
1,1.0000,bottle,80,9.135496
1,1.0000,bowl,80,8.965405
1,1.0000,box,80,8.975291
1,1.0000,bread,80,9.000366
1,1.0000,break,80,8.764243
1,1.0000,bring,80,8.500673
1,1.0000,broken,80,8.854959
1,1.0000,brown,80,8.934729
1,1.0000,brush,80,9.005412
1,1.0000,build,80,8.602418
1,1.0000,bus,80,9.049963
1,1.0000,but,80,7.936073
1,1.0000,butter,80,9.041553
1,1.0000,button,80,8.861179
1,1.0000,buy,80,8.365584
1,1.0000,by,80,8.920705
1,1.0000,cake,80,9.142412
1,1.0000,call,80,8.885471
1,1.0000,camera,80,8.654898
1,1.0000,can,80,8.752745
1,1.0000,car,80,8.550918
1,1.0000,careful,80,8.692246
1,1.0000,carry,80,8.545303
1,1.0000,cat,80,8.803924
1,1.0000,catch,80,8.677198
1,1.0000,chair,80,9.220022
1,1.0000,cheese,80,9.118350
1,1.0000,chicken,80,8.973930
1,1.0000,child,80,8.363784
1,1.0000,chocolate,80,9.037498
1,1.0000,clean,80,8.810411
1,1.0000,clock,80,8.829874
1,1.0000,close,80,8.917779
1,1.0000,cloud,80,8.993406
1,1.0000,coat,80,8.965793
1,1.0000,coffee,80,8.890483
1,1.0000,cold,80,8.800166
1,1.0000,comb,80,8.980442
1,1.0000,cook,80,8.969199
1,1.0000,corn,80,8.975046
1,1.0000,could,80,8.853591
1,1.0000,country,80,8.315305
1,1.0000,cover,80,8.639410
1,1.0000,cow,80,9.182521
1,1.0000,cry,80,9.065602
1,1.0000,cup,80,8.802204
1,1.0000,cut,80,8.844599
1,1.0000,dark,80,8.743830
1,1.0000,day,80,8.667961
1,1.0000,deer,80,9.083655
1,1.0000,did,80,8.924465
1,1.0000,dish,80,8.900576
1,1.0000,do,80,8.626806
1,1.0000,doctor,80,8.694605
1,1.0000,does,80,8.705713
1,1.0000,dog,80,8.479766
1,1.0000,doll,80,9.029953
1,1.0000,door,80,8.694377
1,1.0000,down,80,8.876459
1,1.0000,draw,80,9.008980
1,1.0000,dress,80,9.011599
1,1.0000,drink,80,8.921155
1,1.0000,drive,80,8.840344
1,1.0000,drop,80,8.980471
1,1.0000,dry,80,8.796438
1,1.0000,each,80,8.716380
1,1.0000,ear,80,8.851250
1,1.0000,eat,80,8.544212
1,1.0000,egg,80,8.763736
1,1.0000,empty,80,8.862713
1,1.0000,every,80,8.660687
1,1.0000,eye,80,8.933227
1,1.0000,face,80,8.857930
1,1.0000,fall,80,8.954370
1,1.0000,farm,80,8.860265
1,1.0000,fast,80,8.876555
1,1.0000,feed,80,8.919519
1,1.0000,find,80,8.449678
1,1.0000,fine,80,8.854018
1,1.0000,finger,80,8.911170
1,1.0000,finish,80,8.948963
1,1.0000,first,80,8.232571
1,1.0000,fish,80,8.764754
1,1.0000,fit,80,8.837015
1,1.0000,fix,80,8.878312
1,1.0000,flower,80,8.935746
1,1.0000,food,80,8.796276
1,1.0000,foot,80,8.950754
1,1.0000,for,80,8.879217
1,1.0000,friend,80,8.776625
1,1.0000,full,80,8.606699
1,1.0000,game,80,8.541982
1,1.0000,garden,80,8.734500
1,1.0000,gas,80,9.050605
1,1.0000,gentle,80,8.962100
1,1.0000,get,80,8.431210
1,1.0000,give,80,8.476686
1,1.0000,glass,80,8.937250
1,1.0000,glasses,80,9.048584
1,1.0000,go,80,8.669590
1,1.0000,good,80,8.303446
1,1.0000,grass,80,8.943148
1,1.0000,green,80,8.778591
1,1.0000,gum,80,9.016870
1,1.0000,hair,80,9.024461
1,1.0000,hand,80,8.595756
1,1.0000,happy,80,8.883267
1,1.0000,hard,80,8.769335
1,1.0000,have,80,8.811255
1,1.0000,he,80,8.712538
1,1.0000,head,80,8.819443
1,1.0000,hear,80,8.577795
1,1.0000,heavy,80,8.960758
1,1.0000,help,80,8.434438
1,1.0000,her,80,8.847153
1,1.0000,here,80,8.893411
1,1.0000,high,80,8.871311
1,1.0000,him,80,8.880944
1,1.0000,his,80,8.823056
1,1.0000,hit,80,9.023356
1,1.0000,hold,80,8.623096
1,1.0000,home,80,8.744461
1,1.0000,horse,80,8.758238
1,1.0000,hot,80,8.813938
1,1.0000,house,80,8.862024
1,1.0000,how,80,8.693470
1,1.0000,hurt,80,8.954766
1,1.0000,i,80,8.691438
1,1.0000,ice,80,8.829604
1,1.0000,if,80,8.704791
1,1.0000,inside,80,8.880779
1,1.0000,into,80,8.844766
1,1.0000,is,80,8.715787
1,1.0000,it,80,8.573228
1,1.0000,juice,80,8.837933
1,1.0000,jump,80,8.978898
1,1.0000,kitchen,80,8.641133
1,1.0000,knife,80,8.917724
1,1.0000,last,80,8.638883
1,1.0000,later,80,8.905941
