word,count,total_tokens
turn,51954,378750562
under,141362,378750562
up,400134,378750562
us,134829,378750562
vacuum,11060,378750562
wait,15639,378750562
walk,24758,378750562
was,622765,378750562
wash,12596,378750562
washing,10867,378750562
watch,19327,378750562
water,321446,378750562
we,583234,378750562
were,295985,378750562
wet,23791,378750562
what,323887,378750562
when,427914,378750562
where,223616,378750562
which,553366,378750562
white,57709,378750562
who,251834,378750562
why,95765,378750562
will,732570,378750562
wind,40110,378750562
window,18963,378750562
wish,11337,378750562
with,1701171,378750562
work,239697,378750562
would,265100,378750562
write,23526,378750562
yard,10289,378750562
yellow,25407,378750562
yes,10091,378750562
you,1825197,378750562
your,1231461,378750562
yourself,43181,378750562
