axis,set,n,cor_k_onset,partial_k_onset_freq,onset_beta,onset_p,median_kappa
checkpoint (training step),all,486,0.04250225284571899,0.2175722637700195,0.2444541616355468,1.3165770084439216e-6,0.680627761956319
checkpoint (training step),asymptote-reached,408,0.13469795329292525,0.3795871585696233,0.47272045913866273,2.1358387756991858e-15,0.8340669355231776
development (data budget),all,1485,0.15116848624160656,0.15050508182885683,0.48745229579166066,5.6705141722962206e-9,1.2515627365315167
development (data budget),asymptote-reached,1291,0.3075045844844026,0.3187860514975591,1.4559712013728063,7.367912278618572e-32,1.380776825839981
